step,Tsum,DVS,LAI,WRT,WLV,WST,WSO
70.000000,100.000000,0.118725,0.300608,48.800000,136.640000,58.560000,0.000000
71.000000,104.150000,0.125291,0.300608,48.800000,136.640000,58.560000,0.000000
72.000000,106.650000,0.129298,0.300608,48.800000,136.640000,58.560000,0.000000
73.000000,109.800000,0.134412,0.300608,48.800000,136.640000,58.560000,0.000000
74.000000,112.700000,0.139180,0.300608,48.800000,136.640000,58.560000,0.000000
75.000000,115.750000,0.144258,0.300608,48.800000,136.640000,58.560000,0.000000
76.000000,124.350000,0.158756,0.300608,48.800000,136.640000,58.560000,0.000000
77.000000,130.400000,0.169081,0.300608,48.800000,136.640000,58.560000,0.000000
78.000000,134.300000,0.175818,0.300608,48.800000,136.640000,58.560000,0.000000
79.000000,137.450000,0.181325,0.300608,48.800000,136.640000,58.560000,0.000000
80.000000,139.500000,0.184953,0.300608,48.800000,136.640000,58.560000,0.000000
81.000000,142.650000,0.190592,0.300608,48.800000,136.640000,58.560000,0.000000
82.000000,145.000000,0.194849,0.300608,48.800000,136.640000,58.560000,0.000000
83.000000,147.050000,0.198606,0.300608,48.800000,136.640000,58.560000,0.000000
84.000000,153.450000,0.210468,0.300608,48.800000,136.640000,58.560000,0.000000
85.000000,153.950000,0.211406,0.300608,48.800000,136.640000,58.560000,0.000000
86.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
87.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
88.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
89.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
90.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
91.000000,154.700000,0.212828,0.300608,48.800000,136.640000,58.560000,0.000000
92.000000,158.500000,0.220514,0.300608,48.800000,136.640000,58.560000,0.000000
93.000000,159.000000,0.221536,0.300608,48.800000,136.640000,58.560000,0.000000
94.000000,159.000000,0.221536,0.300608,48.800000,136.640000,58.560000,0.000000
95.000000,159.600000,0.222788,0.300608,48.800000,136.640000,58.560000,0.000000
96.000000,161.000000,0.225738,0.300608,48.800000,136.640000,58.560000,0.000000
97.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
98.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
99.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
100.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
101.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
102.000000,161.450000,0.226696,0.300608,48.800000,136.640000,58.560000,0.000000
103.000000,163.200000,0.230641,0.300608,48.800000,136.640000,58.560000,0.000000
104.000000,166.100000,0.237240,0.300608,48.800000,136.640000,58.560000,0.000000
105.000000,167.500000,0.240455,0.300608,48.800000,136.640000,58.560000,0.000000
106.000000,169.500000,0.245089,0.300608,48.800000,136.640000,58.560000,0.000000
107.000000,171.400000,0.249531,0.300608,48.800000,136.640000,58.560000,0.000000
108.000000,173.450000,0.254366,0.300608,48.800000,136.640000,58.560000,0.000000
109.000000,173.450000,0.254366,0.300608,48.800000,136.640000,58.560000,0.000000
110.000000,173.450000,0.254366,0.300608,48.800000,136.640000,58.560000,0.000000
111.000000,174.950000,0.257996,0.300608,48.800000,136.640000,58.560000,0.000000
112.000000,181.250000,0.273371,0.300608,48.800000,136.640000,58.560000,0.000000
113.000000,188.350000,0.290842,0.300608,48.800000,136.640000,58.560000,0.000000
114.000000,194.550000,0.306223,0.300608,48.800000,136.640000,58.560000,0.000000
115.000000,198.250000,0.315477,0.300608,48.800000,136.640000,58.560000,0.000000
116.000000,202.150000,0.325308,0.300608,48.800000,136.640000,58.560000,0.000000
117.000000,210.050000,0.345380,0.300608,48.800000,136.640000,58.560000,0.000000
118.000000,212.850000,0.352549,0.300608,48.800000,136.640000,58.560000,0.000000
119.000000,216.650000,0.362353,0.300608,48.800000,136.640000,58.560000,0.000000
120.000000,222.050000,0.376391,0.300608,48.800000,136.640000,58.560000,0.000000
121.000000,227.250000,0.390008,0.300608,48.800000,136.640000,58.560000,0.000000
122.000000,229.800000,0.396735,0.000000,48.800000,0.000000,58.560000,0.000000
123.000000,235.050000,0.410684,0.000000,48.800000,0.000000,58.560000,0.000000
124.000000,244.050000,0.434767,0.000000,48.800000,0.000000,58.560000,0.000000
125.000000,251.650000,0.455245,0.000000,48.800000,0.000000,58.560000,0.000000
126.000000,257.350000,0.470709,0.000000,48.800000,0.000000,58.560000,0.000000
127.000000,262.400000,0.484503,0.000000,48.800000,0.000000,58.560000,0.000000
128.000000,267.500000,0.498525,0.000000,48.800000,0.000000,58.560000,0.000000
